BMBM-0002,Rostanga_pulchra
BMBM-0568,Sthenelais_berkeleyi
BMBM-0604,Halosydna_brevisetosa_B
BMBM-0605,Arctonoe_vittata
BMBM-0606,Halosydna_sp
BMBM-0609,Arctonoe_sp
BMBM-0611,Halosydna_brevisetosa_B
BMBM-0619,Hermadion_truncata
BMBM-0620,Enipo_sp
BMBM-0623,Enipo_sp
BMBM-0624,Harmothoe_sp
BMBM-0625,Enipo_sp
BMBM-0628,Enipo_sp
BMBM-0638,Naineris
BMBM-0674,Ligia_pallasii
BMBM-0675,Pentidotea
BMBM-0676,Gnorimosphaeroma_oregonensis
BMBM-0751,Hyperia_medusarum
BMBM-0765,Thyone_benti?_1
BMBM-0765,Thyone_benti?_2
BMBM-0768,Rocinela_angustata
BMBM-0782,Macoma
BMBM-0783,Modiolus_modiolus
BMBM-0788,Cellaria
BMBM-0789,Costazia_robertsoniae
BMBM-0790,Ericthonius_rubricornis
BMBM-0793,Bryozoa
BMBM-0802,Crisia_pugeti
BMBM-0803,Dendrobeania_lichenoides
BMBM-0804,Scrupocellaria_californica
BMBM-0805,Lottia
BMBM-0814,Crisia_occidentalis
BMBM-0843,Scoloplos_acmeceps
BMBM-0844,Proceraea_hanssoni
BMBM-0845,Paleanotus_bellis
BMBM-0846,Syllis_elongata
BMBM-0848,Proceraea_nigropunctata
BMBM-0849,Proceraea_nigropunctata
BMBM-0850,Schizobranchia_insignis
BMBM-0878,Magelona
BMBM-0891,?
BMBM-0903,Hydrozoa
BMBM-0905,Vorticeros_praedatorium
BMBM-0966,Poecilostomatoida_sp._1
BMBM-0971,Tisbe_sp._1
BMBM-0974,Diarthrodes_sp._1
BMBM-0975,Diosaccus_spinatus
