qseqid,taxon_name,pident,db,sample_id,count
1_1114_20625_15979_lib_ACATCG_tag_ACAGTC,Cuthona sp. 7 CCS-2010,99.225,genbank,ML0542,4
1_1114_21416_16209_lib_ACATCG_tag_AGACGC,,,,ML0542,1
1_1114_26857_13764_lib_ACATCG_tag_ACAGTC,Nemertea,97.764,local,ML0542,2
1_1114_6262_21769_lib_ACATCG_tag_ACAGTC,Megalomma splendida,99.677,genbank,ML0542,3
1_1115_10097_18316_lib_ACATCG_tag_ACAGTC,,,,ML0542,7
1_1115_11736_9521_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_1115_12431_9133_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_1115_13945_5062_lib_TGACAT_tag_ATCGAC,,,,ML0542,3
1_1115_15990_8594_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_1115_22663_2263_lib_ACATCG_tag_ACAGTC,Oegoconia novimundi,99.035,genbank,ML0542,4
1_1115_24323_6661_lib_ACATCG_tag_ACAGTC,Amphiascopsis_sp._1;NA,100,local,ML0542,1
1_1115_24875_5015_lib_ACATCG_tag_ACAGTC,Euryte_sp._1,99.681,local,ML0542,2
1_1115_28647_12088_lib_ACATCG_tag_ATGTCG,Odonthalia floccosa,99.361,genbank,ML0542,1
1_1115_5109_15288_lib_ACATCG_tag_ACAGTC,,,,ML0542,2
1_1115_6615_9041_lib_ACATCG_tag_ACAGTC,,,,ML0542,4
1_1115_8737_14420_lib_ACATCG_tag_ACAGTC,Nemertea,97.764,local,ML0542,2
1_1116_12118_24265_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_1116_14123_8970_lib_ACATCG_tag_ACAGTC,,,,ML0542,8
1_1116_20768_9299_lib_TGACAT_tag_ATCGAC,,,,ML0542,2
1_1116_24667_14366_lib_ACATCG_tag_AGACGC,NA,100,local,ML0542,2
1_1116_26579_10749_lib_ACATCG_tag_ACAGTC,,,,ML0542,18
1_1116_28297_16172_lib_ACATCG_tag_ACAGTC,Nemertea,98.403,local,ML0542,11
1_1116_6342_7759_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_1117_16283_7243_lib_ACATCG_tag_ACAGTC,,,,ML0542,3
1_1117_20497_8299_lib_ACATCG_tag_ACAGTC,,,,ML0542,8
1_1117_20594_8048_lib_ACATCG_tag_ACAGTC,,,,ML0542,2
1_1117_22147_13431_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_1117_22222_17756_lib_TGGTCA_tag_ACTAGC,,,,ML0542,1
1_1117_22237_18317_lib_ACATCG_tag_AGACGC,Peyssonnelia sp. 10BC,99.361,genbank,ML0542,1
1_1117_26468_12528_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_1118_15601_6308_lib_ACATCG_tag_ACAGTC,,,,ML0542,2
1_1118_15784_18048_lib_ACATCG_tag_ACAGTC,,,,ML0542,21
1_1118_16368_4828_lib_ACATCG_tag_ACAGTC,,,,ML0542,10
1_1118_16542_22167_lib_ACATCG_tag_ACAGTC,NA;NA,98.403,local,ML0542,6
1_1118_17285_24467_lib_ACATCG_tag_ACAGTC,,,,ML0542,2
1_1118_22025_6386_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_1118_22890_5456_lib_ACATCG_tag_ACAGTC,,,,ML0542,2
1_1118_25364_14723_lib_ACATCG_tag_ACTAGC,,,,ML0542,1
1_1118_2967_11690_lib_ACATCG_tag_ACAGTC,,,,ML0542,2
1_1118_3953_6166_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_1118_7039_19631_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_1118_8309_14077_lib_ACATCG_tag_ACTAGC,NA,98.083,local,ML0542,1
1_1118_9773_7876_lib_ACATCG_tag_ACAGTC,Megalomma splendida,98.718,genbank,ML0542,1
1_1119_11373_8772_lib_ACATCG_tag_ATAGCA,NA;NA,98.403,local,ML0542,7
1_1119_18355_1384_lib_ACATCG_tag_ACAGTC,NA;NA,99.042,local,ML0542,2
1_1119_24651_9382_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_1119_27220_18869_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_2101_16288_2546_lib_ACATCG_tag_ACAGTC,NA,97.419,local,ML0542,2
1_2101_25589_11936_lib_ACATCG_tag_ACAGTC,,,,ML0542,2
1_2102_17841_5928_lib_ACATCG_tag_ACAGTC,,,,ML0542,11
1_2102_23345_4338_lib_ATTGGC_tag_ATGTCG,NA,98.246,local,ML0542,1
1_2102_28691_17860_lib_ACATCG_tag_ACAGTC,NA;NA;NA;NA;NA,98.722,local,ML0542,2
1_2103_25426_20371_lib_ACATCG_tag_ACAGTC,Homalopoma baculum,100,genbank,ML0542,3
1_2103_5248_12751_lib_ACATCG_tag_ACAGTC,,,,ML0542,14
1_2103_8479_5631_lib_ACATCG_tag_ACAGTC,NA;NA,99.675,local,ML0542,1
1_2104_15976_3528_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_2104_17947_4307_lib_ACATCG_tag_ACAGTC,,,,ML0542,4
1_2104_28751_13079_lib_ACATCG_tag_ACAGTC,Cancer oregonensis,97.125,genbank,ML0542,2
1_2104_5527_5918_lib_ACATCG_tag_ACAGTC,,,,ML0542,1
1_2105_11305_10981_lib_ACATCG_tag_ACAGTC,NA,99.639,local,ML0542,1
1_2105_21761_15990_lib_GATCTG_tag_ACAGTC,Halisarca dujardini,99.361,genbank,ML0542,2
1_2105_25173_19620_lib_ACATCG_tag_ACAGTC,,,,ML0542,10
1_2106_11839_17679_lib_ACATCG_tag_ACAGTC,,,,ML0542,4
1_2106_12683_10872_lib_ACATCG_tag_ACAGTC,,,,ML0542,3
1_2106_20313_4940_lib_ACATCG_tag_ACAGTC,,,,ML0542,3
1_2106_20893_11857_lib_ACATCG_tag_ACAGTC,,,,ML0542,2
1_2106_21696_22185_lib_ACATCG_tag_ACAGTC,,,,ML0542,2
1_2106_22373_5043_lib_ACATCG_tag_ACAGTC,NA;NA,100,local,ML0542,1
